id_price,date,close,open,max,min,volume
1,2000-01-03,22.36,22.87,23.4,22.12,472676
2,2000-01-04,21.82,22.15,22.49,21.61,566513
3,2000-01-05,20.81,21.7,22.3,20.8,409106
4,2000-01-07,22.31,21.45,23.0,21.0,656600
5,2000-01-10,21.92,22.6,23.09,21.64,11803396
6,2000-01-11,21.38,21.81,21.81,21.11,11876541
7,2000-01-12,21.13,21.28,21.48,20.9,594848
8,2000-01-13,20.52,21.0,21.02,20.05,574361
9,2000-01-14,21.01,20.63,21.39,20.57,492923
10,2000-01-17,20.52,21.0,21.25,20.42,332487
11,2000-01-18,19.73,20.4,20.48,19.37,1222930
12,2000-01-19,20.32,19.75,20.32,19.51,431016
13,2000-01-20,20.28,20.49,21.0,20.0,432582
14,2000-01-21,20.0,20.4,20.45,19.85,866687
15,2000-01-24,19.65,19.85,20.2,19.6,465174
16,2000-01-25,20.05,19.65,20.1,19.6,408910
17,2000-01-26,19.7,19.8,20.27,19.55,551676
18,2000-01-27,18.91,19.83,19.83,18.91,1155951
19,2000-01-28,19.03,19.0,19.87,18.76,869081
20,2000-01-31,18.78,19.45,19.45,18.45,817445
21,2000-02-01,19.29,18.82,19.45,18.82,768326
22,2000-02-02,19.29,19.33,19.36,19.06,463532
23,2000-02-03,19.65,19.4,19.65,19.01,511612
24,2000-02-04,19.78,19.7,19.9,19.5,274963
25,2000-02-07,19.65,19.87,19.88,19.5,256309
26,2000-02-08,20.07,19.55,20.49,19.55,689237
27,2000-02-09,19.91,20.1,20.2,19.5,530250
28,2000-02-10,19.79,19.7,19.97,19.63,356897
29,2000-02-11,19.25,19.51,19.63,19.16,538105
30,2000-02-14,18.75,19.15,19.36,18.3,988838
31,2000-02-15,18.81,18.9,19.0,18.7,956897
32,2000-02-16,19.27,18.85,19.65,18.55,706614
33,2000-02-17,19.41,19.22,19.75,19.22,478919
34,2000-02-18,19.55,19.55,19.78,19.35,1040309
35,2000-02-21,19.15,19.4,19.78,19.08,1240932
36,2000-02-22,19.15,19.15,19.5,19.01,649612
37,2000-02-23,19.7,19.5,19.7,19.07,584142
38,2000-02-24,19.36,19.91,19.91,19.32,463974
